location code,2Digit,Sym,Branch Name General,Sierra Label - Branch Name,Location Type,Public,location lookup
ag,AG,AG,Aguilar Branch,Aguilar,Mixed Use,0,AG
aga,AG,AG,Aguilar Branch,Aguilar Adult,Mixed Use,1,AG
aga01,AG,AG,Aguilar Branch,Aguilar Reference,Mixed Use,0,AG
aga03,AG,AG,Aguilar Branch,Aguilar Closed Shelf Reference,Mixed Use,0,AG
aga0f,AG,AG,Aguilar Branch,Aguilar Fiction,Mixed Use,0,AG
aga0l,AG,AG,Aguilar Branch,Aguilar World Languages,Mixed Use,0,AG
aga0n,AG,AG,Aguilar Branch,Aguilar Non-Fiction,Mixed Use,0,AG
aga0v,AG,AG,Aguilar Branch,Aguilar Non-Print Media,Mixed Use,0,AG
aga0w,AG,AG,Aguilar Branch,Aguilar Center for Reading & Writing,Mixed Use,0,AG
agar,AG,AG,Aguilar Branch,Aguilar Adult Reference,Mixed Use,0,AG
agj,AG,AG,Aguilar Branch,Aguilar Children,Mixed Use,1,AG
agj01,AG,AG,Aguilar Branch,Aguilar Children's Reference,Mixed Use,0,AG
agj0a,AG,AG,Aguilar Branch,Aguilar Children's Easy Book,Mixed Use,0,AG
agj0f,AG,AG,Aguilar Branch,Aguilar Children's Fiction,Mixed Use,0,AG
agj0h,AG,AG,Aguilar Branch,Aguilar Children's Holiday Book,Mixed Use,0,AG
agj0i,AG,AG,Aguilar Branch,Aguilar Children's Picture Book,Mixed Use,0,AG
agj0l,AG,AG,Aguilar Branch,Aguilar Children's World Languages,Mixed Use,0,AG
agj0n,AG,AG,Aguilar Branch,Aguilar Children's Non-Fiction,Mixed Use,0,AG
agj0t,AG,AG,Aguilar Branch,Aguilar Children's Fairy Tale,Mixed Use,0,AG
agj0v,AG,AG,Aguilar Branch,Aguilar Children's Non-Print Media,Mixed Use,0,AG
agj0y,AG,AG,Aguilar Branch,Aguilar Children's Young Reader,Mixed Use,0,AG
agjr,AG,AG,Aguilar Branch,Aguilar Children's Reference,Mixed Use,0,AG
agy,AG,AG,Aguilar Branch,Aguilar Young Adult,Mixed Use,1,AG
agy01,AG,AG,Aguilar Branch,Aguilar YA Reference,Mixed Use,0,AG
agy0f,AG,AG,Aguilar Branch,Aguilar YA Fiction,Mixed Use,0,AG
agy0l,AG,AG,Aguilar Branch,Aguilar YA World Languages,Mixed Use,0,AG
agy0n,AG,AG,Aguilar Branch,Aguilar YA Non-Fiction,Mixed Use,0,AG
agy0v,AG,AG,Aguilar Branch,Aguilar YA Non-Print Media,Mixed Use,0,AG
agyr,AG,AG,Aguilar Branch,Aguilar Young Adult Reference,Mixed Use,0,AG
agzzz,AG,AG,Aguilar Branch,Aguilar (error code),Mixed Use,0,AG
al,AL,AL,Allerton Branch,Allerton,Mixed Use,0,AL
ala,AL,AL,Allerton Branch,Allerton Adult,Mixed Use,1,AL
ala01,AL,AL,Allerton Branch,Allerton Reference,Mixed Use,0,AL
ala03,AL,AL,Allerton Branch,Allerton Closed Shelf Reference,Mixed Use,0,AL
ala0f,AL,AL,Allerton Branch,Allerton Fiction,Mixed Use,0,AL
ala0l,AL,AL,Allerton Branch,Allerton World Languages,Mixed Use,0,AL
ala0n,AL,AL,Allerton Branch,Allerton Non-Fiction,Mixed Use,0,AL
ala0v,AL,AL,Allerton Branch,Allerton Non-Print Media,Mixed Use,0,AL
alar,AL,AL,Allerton Branch,Allerton Adult Reference,Mixed Use,0,AL
alj,AL,AL,Allerton Branch,Allerton Children,Mixed Use,1,AL
alj01,AL,AL,Allerton Branch,Allerton Children's Reference,Mixed Use,0,AL
alj0a,AL,AL,Allerton Branch,Allerton Children's Easy Book,Mixed Use,0,AL
alj0f,AL,AL,Allerton Branch,Allerton Children's Fiction,Mixed Use,0,AL
alj0h,AL,AL,Allerton Branch,Allerton Children's Holiday Book,Mixed Use,0,AL
alj0i,AL,AL,Allerton Branch,Allerton Children's Picture Book,Mixed Use,0,AL
alj0l,AL,AL,Allerton Branch,Allerton Children's World Languages,Mixed Use,0,AL
alj0n,AL,AL,Allerton Branch,Allerton Children's Non-Fiction,Mixed Use,0,AL
alj0t,AL,AL,Allerton Branch,Allerton Children's Fairy Tale,Mixed Use,0,AL
alj0v,AL,AL,Allerton Branch,Allerton Children's Non-Print Media,Mixed Use,0,AL
alj0y,AL,AL,Allerton Branch,Allerton Children's Young Reader,Mixed Use,0,AL
aljr,AL,AL,Allerton Branch,Allerton Children's Reference,Mixed Use,0,AL
aly,AL,AL,Allerton Branch,Allerton Young Adult,Mixed Use,1,AL
aly01,AL,AL,Allerton Branch,Allerton YA Reference,Mixed Use,0,AL
aly0f,AL,AL,Allerton Branch,Allerton YA Fiction,Mixed Use,0,AL
aly0l,AL,AL,Allerton Branch,Allerton YA World Languages,Mixed Use,0,AL
aly0n,AL,AL,Allerton Branch,Allerton YA Non-Fiction,Mixed Use,0,AL
aly0v,AL,AL,Allerton Branch,Allerton YA Non-Print Media,Mixed Use,0,AL
alyr,AL,AL,Allerton Branch,Allerton Young Adult Reference,Mixed Use,0,AL
alzzz,AL,AL,Allerton Branch,Allerton (error code),Mixed Use,0,AL
ba,BA,BAR,Baychester Branch,Baychester,Mixed Use,0,BAR
baa,BA,BAR,Baychester Branch,Baychester Adult,Mixed Use,1,BAR
baa01,BA,BAR,Baychester Branch,Baychester Reference,Mixed Use,0,BAR
baa03,BA,BAR,Baychester Branch,Baychester Closed Shelf Reference,Mixed Use,0,BAR
baa0f,BA,BAR,Baychester Branch,Baychester Fiction,Mixed Use,0,BAR
baa0l,BA,BAR,Baychester Branch,Baychester World Languages,Mixed Use,0,BAR
baa0n,BA,BAR,Baychester Branch,Baychester Non-Fiction,Mixed Use,0,BAR
baa0v,BA,BAR,Baychester Branch,Baychester Non-Print Media,Mixed Use,0,BAR
baar,BA,BAR,Baychester Branch,Baychester Adult Reference,Mixed Use,0,BAR
baj,BA,BAR,Baychester Branch,Baychester Children,Mixed Use,1,BAR
baj01,BA,BAR,Baychester Branch,Baychester Children's Reference,Mixed Use,0,BAR
baj0a,BA,BAR,Baychester Branch,Baychester Children's Easy Book,Mixed Use,0,BAR
baj0f,BA,BAR,Baychester Branch,Baychester Children's Fiction,Mixed Use,0,BAR
baj0h,BA,BAR,Baychester Branch,Baychester Children's Holiday Book,Mixed Use,0,BAR
baj0i,BA,BAR,Baychester Branch,Baychester Children's Picture Book,Mixed Use,0,BAR
baj0l,BA,BAR,Baychester Branch,Baychester Children's World Languages,Mixed Use,0,BAR
baj0n,BA,BAR,Baychester Branch,Baychester Children's Non-Fiction,Mixed Use,0,BAR
baj0t,BA,BAR,Baychester Branch,Baychester Children's Fairy Tale,Mixed Use,0,BAR
baj0v,BA,BAR,Baychester Branch,Baychester Children's Non-Print Media,Mixed Use,0,BAR
baj0y,BA,BAR,Baychester Branch,Baychester Children's Young Reader,Mixed Use,0,BAR
bajr,BA,BAR,Baychester Branch,Baychester Children's Reference,Mixed Use,0,BAR
bay,BA,BAR,Baychester Branch,Baychester Young Adult,Mixed Use,1,BAR
bay01,BA,BAR,Baychester Branch,Baychester YA Reference,Mixed Use,0,BAR
bay0f,BA,BAR,Baychester Branch,Baychester YA Fiction,Mixed Use,0,BAR
bay0l,BA,BAR,Baychester Branch,Baychester YA World Languages,Mixed Use,0,BAR
bay0n,BA,BAR,Baychester Branch,Baychester YA Non-Fiction,Mixed Use,0,BAR
bay0v,BA,BAR,Baychester Branch,Baychester YA Non-Print Media,Mixed Use,0,BAR
bayr,BA,BAR,Baychester Branch,Baychester Young Adult Reference,Mixed Use,0,BAR
bazzz,BA,BAR,Baychester Branch,Baychester (error code),Mixed Use,0,BAR
bc,BC,BLC,Bronx Library Center,Bronx Library Center,Mixed Use,0,BLC
bca,BC,BLC,Bronx Library Center,Bronx Library Center Adult,Mixed Use,1,BLC
bca01,BC,BLC,Bronx Library Center,Bronx Library Center Reference,Mixed Use,0,BLC
bca03,BC,BLC,Bronx Library Center,Bronx Library Center Closed Shelf Reference,Mixed Use,0,BLC
bca0f,BC,BLC,Bronx Library Center,Bronx Library Center Fiction,Mixed Use,0,BLC
bca0l,BC,BLC,Bronx Library Center,Bronx Library Center World Languages,Mixed Use,0,BLC
bca0n,BC,BLC,Bronx Library Center,Bronx Library Center Non-Fiction,Mixed Use,0,BLC
bca0v,BC,BLC,Bronx Library Center,Bronx Library Center Non-Print Media,Mixed Use,0,BLC
bca0w,BC,BLC,Bronx Library Center,Bronx Library Center for Reading & Writing,Mixed Use,0,BLC
bcar,BC,BLC,Bronx Library Center,Bronx Library Center Adult Reference,Mixed Use,0,BLC
bcj,BC,BLC,Bronx Library Center,Bronx Library Center Children,Mixed Use,1,BLC
bcj01,BC,BLC,Bronx Library Center,Bronx Library Center Children's Reference,Mixed Use,0,BLC
bcj0a,BC,BLC,Bronx Library Center,Bronx Library Center Children's Easy Book,Mixed Use,0,BLC
bcj0f,BC,BLC,Bronx Library Center,Bronx Library Center Children's Fiction,Mixed Use,0,BLC
bcj0h,BC,BLC,Bronx Library Center,Bronx Library Center Children's Holiday Book,Mixed Use,0,BLC
bcj0i,BC,BLC,Bronx Library Center,Bronx Library Center Children's Picture Book,Mixed Use,0,BLC
bcj0l,BC,BLC,Bronx Library Center,Bronx Library Center Children's World Languages,Mixed Use,0,BLC
bcj0n,BC,BLC,Bronx Library Center,Bronx Library Center Children's Non-Fiction,Mixed Use,0,BLC
bcj0t,BC,BLC,Bronx Library Center,Bronx Library Center Children's Fairy Tale,Mixed Use,0,BLC
bcj0v,BC,BLC,Bronx Library Center,Bronx Library Center Children's Non-Print Media,Mixed Use,0,BLC
bcj0y,BC,BLC,Bronx Library Center,Bronx Library Center Children's Young Reader,Mixed Use,0,BLC
bcjr,BC,BLC,Bronx Library Center,Bronx Library Center Children's Reference,Mixed Use,0,BLC
bcy,BC,BLC,Bronx Library Center,Bronx Library Center Young Adult,Mixed Use,1,BLC
bcy01,BC,BLC,Bronx Library Center,Bronx Library Center YA Reference,Mixed Use,0,BLC
bcy0f,BC,BLC,Bronx Library Center,Bronx Library Center YA Fiction,Mixed Use,0,BLC
bcy0l,BC,BLC,Bronx Library Center,Bronx Library Center YA World Languages,Mixed Use,0,BLC
bcy0n,BC,BLC,Bronx Library Center,Bronx Library Center YA Non-Fiction,Mixed Use,0,BLC
bcy0v,BC,BLC,Bronx Library Center,Bronx Library Center YA Non-Print Media,Mixed Use,0,BLC
bcyr,BC,BLC,Bronx Library Center,Bronx Library Center Young Adult Reference,Mixed Use,0,BLC
bczzz,BC,BLC,Bronx Library Center,Bronx Library Center (error code),Mixed Use,0,BLC
be,BE,BER,Belmont Branch,Belmont,Mixed Use,0,BER
bea,BE,BER,Belmont Branch,Belmont Adult,Mixed Use,1,BER
bea01,BE,BER,Belmont Branch,Belmont Reference,Mixed Use,0,BER
bea03,BE,BER,Belmont Branch,Belmont Closed Shelf Reference,Mixed Use,0,BER
bea0f,BE,BER,Belmont Branch,Belmont Fiction,Mixed Use,0,BER
bea0l,BE,BER,Belmont Branch,Belmont World Languages,Mixed Use,0,BER
bea0n,BE,BER,Belmont Branch,Belmont Non-Fiction,Mixed Use,0,BER
bea0v,BE,BER,Belmont Branch,Belmont Non-Print Media,Mixed Use,0,BER
bear,BE,BER,Belmont Branch,Belmont Adult Reference,Mixed Use,0,BER
bej,BE,BER,Belmont Branch,Belmont Children,Mixed Use,1,BER
bej01,BE,BER,Belmont Branch,Belmont Children's Reference,Mixed Use,0,BER
bej0a,BE,BER,Belmont Branch,Belmont Children's Easy Book,Mixed Use,0,BER
bej0f,BE,BER,Belmont Branch,Belmont Children's Fiction,Mixed Use,0,BER
bej0h,BE,BER,Belmont Branch,Belmont Children's Holiday Book,Mixed Use,0,BER
bej0i,BE,BER,Belmont Branch,Belmont Children's Picture Book,Mixed Use,0,BER
bej0l,BE,BER,Belmont Branch,Belmont Children's World Languages,Mixed Use,0,BER
bej0n,BE,BER,Belmont Branch,Belmont Children's Non-Fiction,Mixed Use,0,BER
bej0t,BE,BER,Belmont Branch,Belmont Children's Fairy Tale,Mixed Use,0,BER
bej0v,BE,BER,Belmont Branch,Belmont Children's Non-Print Media,Mixed Use,0,BER
bej0y,BE,BER,Belmont Branch,Belmont Children's Young Reader,Mixed Use,0,BER
bejr,BE,BER,Belmont Branch,Belmont Children's Reference,Mixed Use,0,BER
bey,BE,BER,Belmont Branch,Belmont Young Adult,Mixed Use,1,BER
bey01,BE,BER,Belmont Branch,Belmont YA Reference,Mixed Use,0,BER
bey0f,BE,BER,Belmont Branch,Belmont YA Fiction,Mixed Use,0,BER
bey0l,BE,BER,Belmont Branch,Belmont YA World Languages,Mixed Use,0,BER
bey0n,BE,BER,Belmont Branch,Belmont YA Non-Fiction,Mixed Use,0,BER
bey0v,BE,BER,Belmont Branch,Belmont YA Non-Print Media,Mixed Use,0,BER
beyr,BE,BER,Belmont Branch,Belmont Young Adult Reference,Mixed Use,0,BER
bezzz,BE,BER,Belmont Branch,Belmont (error code),Mixed Use,0,BER
bl,BL,BLR,Bloomingdale Branch,Bloomingdale,High Circ,0,BLR
bla,BL,BLR,Bloomingdale Branch,Bloomingdale Adult,High Circ,1,BLR
bla01,BL,BLR,Bloomingdale Branch,Bloomingdale Reference,High Circ,0,BLR
bla03,BL,BLR,Bloomingdale Branch,Bloomingdale Closed Shelf Reference,High Circ,0,BLR
bla0f,BL,BLR,Bloomingdale Branch,Bloomingdale Fiction,High Circ,0,BLR
bla0l,BL,BLR,Bloomingdale Branch,Bloomingdale World Languages,High Circ,0,BLR
bla0n,BL,BLR,Bloomingdale Branch,Bloomingdale Non-Fiction,High Circ,0,BLR
bla0v,BL,BLR,Bloomingdale Branch,Bloomingdale Non-Print Media,High Circ,0,BLR
blar,BL,BLR,Bloomingdale Branch,Bloomingdale Adult Reference,High Circ,0,BLR
blj,BL,BLR,Bloomingdale Branch,Bloomingdale Children,High Circ,1,BLR
blj01,BL,BLR,Bloomingdale Branch,Bloomingdale Children's Reference,High Circ,0,BLR
blj0a,BL,BLR,Bloomingdale Branch,Bloomingdale Children's Easy Book,High Circ,0,BLR
blj0f,BL,BLR,Bloomingdale Branch,Bloomingdale Children's Fiction,High Circ,0,BLR
blj0h,BL,BLR,Bloomingdale Branch,Bloomingdale Children's Holiday Book,High Circ,0,BLR
blj0i,BL,BLR,Bloomingdale Branch,Bloomingdale Children's Picture Book,High Circ,0,BLR
blj0l,BL,BLR,Bloomingdale Branch,Bloomingdale Children's World Languages,High Circ,0,BLR
blj0n,BL,BLR,Bloomingdale Branch,Bloomingdale Children's Non-Fiction,High Circ,0,BLR
blj0t,BL,BLR,Bloomingdale Branch,Bloomingdale Children's Fairy Tale,High Circ,0,BLR
blj0v,BL,BLR,Bloomingdale Branch,Bloomingdale Children's Non-Print Media,High Circ,0,BLR
blj0y,BL,BLR,Bloomingdale Branch,Bloomingdale Children's Young Reader,High Circ,0,BLR
bljr,BL,BLR,Bloomingdale Branch,Bloomingdale Children's Reference,High Circ,0,BLR
bly,BL,BLR,Bloomingdale Branch,Bloomingdale Young Adult,High Circ,1,BLR
bly01,BL,BLR,Bloomingdale Branch,Bloomingdale YA Reference,High Circ,0,BLR
bly0f,BL,BLR,Bloomingdale Branch,Bloomingdale YA Fiction,High Circ,0,BLR
bly0l,BL,BLR,Bloomingdale Branch,Bloomingdale YA World Languages,High Circ,0,BLR
bly0n,BL,BLR,Bloomingdale Branch,Bloomingdale YA Non-Fiction,High Circ,0,BLR
bly0v,BL,BLR,Bloomingdale Branch,Bloomingdale YA Non-Print Media,High Circ,0,BLR
blyr,BL,BLR,Bloomingdale Branch,Bloomingdale Young Adult Reference,High Circ,0,BLR
blzzz,BL,BLR,Bloomingdale Branch,Bloomingdale (error code),High Circ,0,BLR
br,BR,BR,George Bruce Branch,George Bruce,Mixed Use,0,BR
bra,BR,BR,George Bruce Branch,George Bruce Adult,Mixed Use,1,BR
bra01,BR,BR,George Bruce Branch,George Bruce Reference,Mixed Use,0,BR
bra03,BR,BR,George Bruce Branch,George Bruce Closed Shelf Reference,Mixed Use,0,BR
bra0f,BR,BR,George Bruce Branch,George Bruce Fiction,Mixed Use,0,BR
bra0l,BR,BR,George Bruce Branch,George Bruce World Languages,Mixed Use,0,BR
bra0n,BR,BR,George Bruce Branch,George Bruce Non-Fiction,Mixed Use,0,BR
bra0v,BR,BR,George Bruce Branch,George Bruce Non-Print Media,Mixed Use,0,BR
brar,BR,BR,George Bruce Branch,George Bruce Adult Reference,Mixed Use,0,BR
brj,BR,BR,George Bruce Branch,George Bruce Children,Mixed Use,1,BR
brj01,BR,BR,George Bruce Branch,George Bruce Children's Reference,Mixed Use,0,BR
brj0a,BR,BR,George Bruce Branch,George Bruce Children's Easy Book,Mixed Use,0,BR
brj0f,BR,BR,George Bruce Branch,George Bruce Children's Fiction,Mixed Use,0,BR
brj0h,BR,BR,George Bruce Branch,George Bruce Children's Holiday Book,Mixed Use,0,BR
brj0i,BR,BR,George Bruce Branch,George Bruce Children's Picture Book,Mixed Use,0,BR
brj0l,BR,BR,George Bruce Branch,George Bruce Children's World Languages,Mixed Use,0,BR
brj0n,BR,BR,George Bruce Branch,George Bruce Children's Non-Fiction,Mixed Use,0,BR
brj0t,BR,BR,George Bruce Branch,George Bruce Children's Fairy Tale,Mixed Use,0,BR
brj0v,BR,BR,George Bruce Branch,George Bruce Children's Non-Print Media,Mixed Use,0,BR
brj0y,BR,BR,George Bruce Branch,George Bruce Children's Young Reader,Mixed Use,0,BR
brjr,BR,BR,George Bruce Branch,George Bruce Children's Reference,Mixed Use,0,BR
bry,BR,BR,George Bruce Branch,George Bruce Young Adult,Mixed Use,1,BR
bry01,BR,BR,George Bruce Branch,George Bruce YA Reference,Mixed Use,0,BR
bry0f,BR,BR,George Bruce Branch,George Bruce YA Fiction,Mixed Use,0,BR
bry0l,BR,BR,George Bruce Branch,George Bruce YA World Languages,Mixed Use,0,BR
bry0n,BR,BR,George Bruce Branch,George Bruce YA Non-Fiction,Mixed Use,0,BR
bry0v,BR,BR,George Bruce Branch,George Bruce YA Non-Print Media,Mixed Use,0,BR
bryr,BR,BR,George Bruce Branch,George Bruce Young Adult Reference,Mixed Use,0,BR
brzzz,BR,BR,George Bruce Branch,George Bruce (error code),Mixed Use,0,BR
bt,BT,BT,Battery Park City,Battery Park City,High Circ,0,BT
bta,BT,BT,Battery Park City,Battery Park Adult,High Circ,1,BT
bta01,BT,BT,Battery Park City,Battery Park Reference,High Circ,0,BT
bta03,BT,BT,Battery Park City,Battery Park Closed Shelf Reference,High Circ,0,BT
bta0f,BT,BT,Battery Park City,Battery Park Fiction,High Circ,0,BT
bta0l,BT,BT,Battery Park City,Battery Park World Languages,High Circ,0,BT
bta0n,BT,BT,Battery Park City,Battery Park Non-Fiction,High Circ,0,BT
bta0v,BT,BT,Battery Park City,Battery Park Non-Print Media,High Circ,0,BT
btar,BT,BT,Battery Park City,Battery Park Adult Reference,High Circ,0,BT
btj,BT,BT,Battery Park City,Battery Park Children,High Circ,1,BT
btj01,BT,BT,Battery Park City,Battery Park Children's Reference,High Circ,0,BT
btj0a,BT,BT,Battery Park City,Battery Park Children's Easy Book,High Circ,0,BT
btj0f,BT,BT,Battery Park City,Battery Park Children's Fiction,High Circ,0,BT
btj0h,BT,BT,Battery Park City,Battery Park Children's Holiday Book,High Circ,0,BT
btj0i,BT,BT,Battery Park City,Battery Park Children's Picture Book,High Circ,0,BT
btj0l,BT,BT,Battery Park City,Battery Park Children's World Languages,High Circ,0,BT
btj0n,BT,BT,Battery Park City,Battery Park Children's Non-Fiction,High Circ,0,BT
btj0t,BT,BT,Battery Park City,Battery Park Children's Fairy Tale,High Circ,0,BT
btj0v,BT,BT,Battery Park City,Battery Park Children's Non-Print Media,High Circ,0,BT
btj0y,BT,BT,Battery Park City,Battery Park Children's Young Reader,High Circ,0,BT
btjr,BT,BT,Battery Park City,Battery Park Children's Reference,High Circ,0,BT
bty,BT,BT,Battery Park City,Battery Park Young Adult,High Circ,1,BT
bty01,BT,BT,Battery Park City,Battery Park YA Reference,High Circ,0,BT
bty0f,BT,BT,Battery Park City,Battery Park YA Fiction,High Circ,0,BT
bty0l,BT,BT,Battery Park City,Battery Park YA World Languages,High Circ,0,BT
bty0n,BT,BT,Battery Park City,Battery Park YA Non-Fiction,High Circ,0,BT
bty0v,BT,BT,Battery Park City,Battery Park YA Non-Print Media,High Circ,0,BT
btyr,BT,BT,Battery Park City,Battery Park Young Adult Reference,High Circ,0,BT
btzzz,BT,BT,Battery Park City,Battery Park (error code),High Circ,0,BT
ca,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral,,0,CA
caa,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Adult,,1,CA
caa01,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Reference,,0,CA
caa03,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Closed Shelf Reference,,0,CA
caa0f,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Fiction,,0,CA
caa0l,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral World Languages,,0,CA
caa0n,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Non-Fiction,,0,CA
caa0v,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Non-Print Media,,0,CA
caar,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Adult Reference,,0,CA
caj,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Children,,1,CA
caj01,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Children's Reference,,0,CA
caj0a,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Children's Easy Book,,0,CA
caj0f,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Children's Fiction,,0,CA
caj0h,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Children's Holiday Book,,0,CA
caj0i,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Children's Picture Book,,0,CA
caj0l,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Children's World Languages,,0,CA
caj0n,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Children's Non-Fiction,,0,CA
caj0t,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Children's Fairy Tale,,0,CA
caj0v,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Children's Non-Print Media,,0,CA
caj0y,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Children's Young Reader,,0,CA
cajr,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Children's Reference,,0,CA
cay,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Young Adult,,1,CA
cay01,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral YA Reference,,0,CA
cay0f,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral YA Fiction,,0,CA
cay0l,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral YA World Languages,,0,CA
cay0n,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral YA Non-Fiction,,0,CA
cay0v,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral YA Non-Print Media,,0,CA
cayr,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral Young Adult Reference,,0,CA
cazzz,CA,CA,Terence Cardinal Cooke-Cathedral Branch,Terence Cardinal Cooke-Cathedral (error code),,0,CA
cc,CR,CRL,Children's Center (SASB),SASB - Children's Center Rm 84,,0,SASB
ccdwl,CD,CD,CCD World Lang Orders,CCD World Lang Orders,,0,
ccj,CR,CRL,Children's Center (SASB),SASB - Children's Center Rm 84,,0,SASB
ccj01,CR,CRL,Children's Center (SASB),SASB (Children's Center at 42nd St.) - Reference Rm 84,,0,SASB
ccj03,CR,CRL,Children's Center (SASB),SASB (Children's Non-Circulating) - Main Reading Room 315,,0,SASB
ccj0a,CR,CRL,Children's Center (SASB),SASB (Children's Center at 42nd St.) - Easy Book Rm 84,,0,SASB
ccj0f,CR,CRL,Children's Center (SASB),SASB (Children's Center at 42nd St.) - Fiction Rm 84,,0,SASB
ccj0h,CR,CRL,Children's Center (SASB),SASB (Children's Center at 42nd St.) - Holiday Book Rm 84,,0,SASB
ccj0i,CR,CRL,Children's Center (SASB),SASB (Children's Center at 42nd St.) - Picture Book Rm 84,,0,SASB
ccj0l,CR,CRL,Children's Center (SASB),SASB (Children's Center at 42nd St.) - World Languages Rm 84,,0,SASB
ccj0n,CR,CRL,Children's Center (SASB),SASB (Children's Center at 42nd St.) - Non-Fiction Rm 84,,0,SASB
ccj0t,CR,CRL,Children's Center (SASB),SASB (Children's Center at 42nd St.) - Fairy Tale Rm 84,,0,SASB
ccj0v,CR,CRL,Children's Center (SASB),SASB (Children's Center at 42nd St.) - Non-Print Media Rm 84,,0,SASB
ccj0y,CR,CRL,Children's Center (SASB),SASB (Children's Center at 42nd St.) - Young Reader Rm 84,,0,SASB
ccj92,MA,SCHWARZMAN,Stephen A. Schwarzman Building,SASB M2 - General Research - Room 315,,0,SASB
ccjr,CR,CRL,Children's Center (SASB),SASB (Children's Center at 42nd St.) - Reference Rm 84,,0,SASB
ch,CH,CHR,Chatham Square Branch,Chatham Square,High Circ,0,CHR
cha,CH,CHR,Chatham Square Branch,Chatham Square Adult,High Circ,1,CHR
cha01,CH,CHR,Chatham Square Branch,Chatham Square Reference,High Circ,0,CHR
cha03,CH,CHR,Chatham Square Branch,Chatham Square Closed Shelf Reference,High Circ,0,CHR
cha0f,CH,CHR,Chatham Square Branch,Chatham Square Fiction,High Circ,0,CHR
cha0l,CH,CHR,Chatham Square Branch,Chatham Square World Languages,High Circ,0,CHR
cha0n,CH,CHR,Chatham Square Branch,Chatham Square Non-Fiction,High Circ,0,CHR
cha0v,CH,CHR,Chatham Square Branch,Chatham Square Non-Print Media,High Circ,0,CHR
cha0w,CH,CHR,Chatham Square Branch,Chatham Adult Learning Center,High Circ,0,CHR
char,CH,CHR,Chatham Square Branch,Chatham Square Adult Reference,High Circ,0,CHR
chj,CH,CHR,Chatham Square Branch,Chatham Square Children,High Circ,1,CHR
chj01,CH,CHR,Chatham Square Branch,Chatham Square Children's Reference,High Circ,0,CHR
chj0a,CH,CHR,Chatham Square Branch,Chatham Square Children's Easy Book,High Circ,0,CHR
chj0f,CH,CHR,Chatham Square Branch,Chatham Square Children's Fiction,High Circ,0,CHR
chj0h,CH,CHR,Chatham Square Branch,Chatham Square Children's Holiday Book,High Circ,0,CHR
chj0i,CH,CHR,Chatham Square Branch,Chatham Square Children's Picture Book,High Circ,0,CHR
chj0l,CH,CHR,Chatham Square Branch,Chatham Square Children's World Languages,High Circ,0,CHR
chj0n,CH,CHR,Chatham Square Branch,Chatham Square Children's Non-Fiction,High Circ,0,CHR
chj0t,CH,CHR,Chatham Square Branch,Chatham Square Children's Fairy Tale,High Circ,0,CHR
